name,height,formats,generation_x,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp_y,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation_y,is_legendary,moveset,vgc_usage_percent,vgc_usage_year,type1_analysis,type2_analysis,ability1,ability2,hidden_ability
ninetales,1.1,PU,RB,1,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,0,1,2,9,7,4,2,2,1,6,6,6,2,14,14,14,14,12,7,5,7,7,7,7,6,3,2,2,1,1,3,0,1,1,1,1,1,1,100.0,77.77777778,0,ZU,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Kyukonキュウコン,24.6,38,81,100,109,fire,ice,,1,0,"Fire Blast, Nasty Plot, Scorching Sands, Solar Beam, Toxic",0.89173,Smogon_VGC_Usage_2023,fire,No_type,flash-fire,No_ability,drought
wigglytuff,1.0,PU,RB,1,2,0,2,0,2,2,8,2,0,2,2,1,2,2,0,2,0,0,2,19,12,7,4,1,0,10,9,9,3,15,14,13,12,9,8,6,10,9,9,9,8,6,5,3,1,1,3,0,1,1,1,1,1,0,83.33333333,83.33333333,0,ZU,0,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,Pukurinプクリン,24.6,40,85,50,45,normal,fairy,12.0,1,0,"Dazzling Gleam, Flamethrower, Protect, Stealth Rock, Teleport, Wish",0.01243,Smogon_VGC_Usage_2023,normal,fairy,cute-charm,competitive,frisk
vileplume,1.2,RU,RB,3,4,0,4,1,0,2,2,0,0,0,1,0,1,4,0,2,2,0,5,5,5,2,1,0,0,2,2,2,1,8,8,7,7,6,5,4,5,5,5,5,5,2,2,2,1,1,4,0,1,1,1,0,0,0,66.66666667,66.66666667,0,NU,2,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,50.0,45,110,90,50,grass,poison,18.6,1,0,"Corrosive Gas, Giga Drain, Sleep Powder, Sludge Bomb, Strength Sap",0.00475,Smogon_VGC_Usage_2024,grass,poison,chlorophyll,No_ability,effect-spore
dugtrio,0.7,PU,RB,1,3,0,2,0,1,1,3,2,0,0,0,0,0,3,2,0,0,0,2,15,13,5,3,2,2,7,7,3,1,7,6,6,6,5,4,2,4,4,4,4,3,1,1,1,1,1,2,0,1,1,1,1,0,0,75.0,75.0,0,ZU,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,Mole Pokémon,60,1000000,,35,Dugtrioダグトリオ,50.0,51,50,70,110,ground,ground,,1,0,"Earthquake, Memento, Shadow Claw, Stealth Rock, Stone Edge",0.08,Worlds_VGC_Usage_2022,ground,No_type,sand-veil,arena-trap,sand-force
persian,1.0,PU,RB,1,1,0,0,0,1,1,3,0,0,0,0,3,2,4,3,0,0,0,2,13,10,5,5,2,0,10,10,7,2,8,7,6,6,5,2,1,10,9,9,9,7,4,3,3,1,1,3,0,1,1,0,0,0,0,54.54545455,54.54545455,0,ZU,0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,,65,Persianペルシアン,50.0,53,75,65,115,normal,dark,,1,0,"Double-Edge, Fake Out, Knock Off, U-turn",0.01124,Smogon_VGC_Usage_2023,normal,No_type,limber,technician,unnerve
golduck,1.7,PU,RB,1,2,0,4,0,0,1,2,0,0,0,0,3,0,3,2,0,0,0,5,17,10,6,4,2,0,10,10,7,2,13,12,10,9,9,8,5,7,6,6,5,5,5,5,3,1,1,2,0,1,1,1,0,0,0,66.66666667,66.66666667,0,ZU,0,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,50.0,55,95,80,85,water,,76.6,1,0,"Flip Turn, Focus Blast, Hydro Pump, Ice Beam, Psychic, Rain Dance",0.02501,Smogon_VGC_Usage_2023,water,No_type,damp,cloud-nine,swift-swim
arcanine,1.9,NU,RB,2,3,0,6,0,0,1,3,0,0,0,0,1,0,3,2,0,1,0,1,18,14,10,9,6,3,11,11,10,4,9,9,9,8,5,3,3,5,5,5,5,3,2,2,2,1,1,3,0,1,1,1,1,0,0,77.77777778,77.77777778,0,NU,2,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,75.4,59,100,80,95,fire,,155.0,1,0,"Flamethrower, Morning Sun, Teleport, Toxic",21.3707,Smogon_VGC_Usage_2023,fire,No_type,intimidate,flash-fire,justified
poliwrath,1.3,PU,RB,1,5,0,7,0,0,2,2,0,0,0,0,0,0,3,2,2,0,0,5,28,18,14,12,7,2,9,9,8,2,11,9,8,7,7,6,4,6,6,6,6,6,4,4,2,1,1,2,0,1,1,1,0,0,0,66.66666667,66.66666667,0,ZU,0,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,50.0,62,70,90,70,water,fighting,54.0,1,0,"Circle Throw, Close Combat, Drain Punch, Earth Power, Earthquake, Ice Beam, Ice Punch, Liquidation, Rest, Scald, Sleep Talk, Waterfall",0.04,Worlds_VGC_Usage_2024,water,fighting,water-absorb,damp,swift-swim
kadabra,1.3,PU,RB,1,3,0,2,0,0,1,-1,0,0,0,0,1,2,3,0,2,1,0,1,16,10,7,3,1,0,9,9,9,2,10,10,9,9,7,5,3,6,6,6,6,6,2,2,2,0,0,3,0,1,1,1,1,1,1,100.0,27.27272727,0,ZU,0,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,75.4,64,120,70,105,psychic,,56.5,1,0,"Counter, Dazzling Gleam, Encore, Knock Off, Psychic, Shadow Ball",,,psychic,No_type,synchronize,inner-focus,magic-guard
alakazam,1.5,OU,RB,5,3,0,2,0,0,1,-1,0,0,0,0,1,2,4,0,2,1,0,1,16,10,7,3,1,0,9,9,9,2,12,12,11,11,9,6,3,7,7,7,7,7,4,4,4,1,1,3,0,1,1,1,1,1,1,100.0,27.27272727,0,OU,5,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,75.4,65,175,105,150,psychic,,48.0,1,0,"Dazzling Gleam, Focus Blast, Nasty Plot, Psychic, Recover",0.00749,Smogon_VGC_Usage_2022,psychic,No_type,synchronize,inner-focus,magic-guard
machamp,1.6,NU,RB,2,3,0,3,0,0,1,0,0,0,0,0,0,2,5,2,0,0,0,0,32,23,17,12,7,3,10,10,9,2,3,3,3,3,3,3,2,4,3,3,3,3,3,3,2,1,1,2,0,1,1,1,1,1,1,100.0,75.0,0,NU,2,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,75.4,68,65,85,55,fighting,,130.0,1,0,"Bullet Punch, Close Combat, Facade, Heavy Slam, Knock Off",0.00738,Smogon_VGC_Usage_2022,fighting,No_type,guts,no-guard,steadfast
tentacruel,1.6,UU,RB,4,3,0,8,0,0,2,5,1,1,0,0,0,2,4,0,2,0,0,1,7,4,2,2,2,0,4,4,3,1,12,11,9,8,8,7,6,8,7,6,6,5,3,3,1,1,1,2,0,1,1,0,0,0,0,64.28571429,64.28571429,1,UU,4,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,50.0,73,80,120,100,water,poison,55.0,1,0,"Haze, Knock Off, Rapid Spin, Scald, Sludge Bomb",0.00485,Smogon_VGC_Usage_2024,water,poison,clear-body,liquid-ooze,rain-dish
rapidash,1.7,PU,RB,1,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,1,0,2,15,13,8,6,4,1,11,10,10,3,7,7,7,7,6,4,4,3,3,3,3,2,2,2,2,1,1,3,0,1,1,1,1,0,0,77.77777778,77.77777778,0,ZU,0,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,50.0,78,80,80,105,fire,,95.0,1,0,"Flare Blitz, High Horsepower, Morning Sun, Swords Dance, Toxic, Wild Charge, Will-O-Wisp",,,fire,No_type,run-away,flash-fire,flame-body
slowbro,1.6,OU,RB,5,5,0,6,0,0,2,1,0,0,0,0,1,0,4,0,2,2,0,2,18,11,7,6,4,1,10,10,8,2,18,16,15,14,12,10,7,10,10,10,10,9,8,8,5,1,1,3,0,1,1,1,1,1,1,100.0,37.5,0,OU,5,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,50.0,80,130,80,30,water,psychic,78.5,1,0,"Future Sight, Ice Beam, Scald, Slack Off, Teleport",2.55,Worlds_VGC_Usage_2022,water,psychic,oblivious,own-tempo,regenerator
magneton,1.0,PU,RB,1,2,1,9,2,1,2,13,0,0,0,0,3,0,2,0,0,0,0,2,6,6,4,2,1,0,3,2,2,1,7,7,6,5,3,2,1,3,3,3,3,3,3,3,3,2,1,3,0,1,1,1,1,0,0,75.0,75.0,0,ZU,0,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,5120,70,465,60,Magnet Pokémon,95,1000000,1.0,50,Rarecoilレアコイル,,82,120,70,70,electric,steel,60.0,1,0,"Flash Cannon, Steel Beam, Thunderbolt, Toxic, Volt Switch",0.00409,Smogon_VGC_Usage_2023,electric,steel,magnet-pull,sturdy,analytic
cloyster,1.5,RU,RB,3,4,0,1,1,0,2,-1,3,1,0,0,1,0,5,2,0,0,0,2,12,11,6,6,6,1,8,6,5,2,8,6,5,4,3,2,2,4,4,4,4,3,3,3,1,1,1,1,0,1,1,1,1,1,1,100.0,40.0,0,RU,3,"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,5120,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,Parshenパルシェン,50.0,91,85,45,70,water,ice,132.5,1,0,"Hydro Pump, Icicle Spear, Rock Blast, Shell Smash",0.0565,Smogon_VGC_Usage_2023,water,ice,shell-armor,skill-link,overcoat
haunter,1.6,PU,RB,1,4,0,2,2,2,2,10,0,0,1,0,0,2,2,2,2,0,0,2,12,10,7,5,4,1,8,8,7,2,14,13,12,12,12,8,5,10,9,9,9,8,2,1,1,0,0,3,0,1,1,1,1,1,0,95.45454545,95.45454545,0,ZU,0,['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,5120,70,405,90,Gas Pokémon,45,1059860,1.6,45,Ghostゴースト,50.0,93,115,55,95,ghost,poison,0.1,1,0,"Destiny Bond, Disable, Pain Split, Shadow Ball, Sludge Bomb, Substitute, Trick, Will-O-Wisp",1e-05,Smogon_VGC_Usage_2024,ghost,poison,levitate,No_ability,None 
gengar,1.5,OU,RB,5,4,0,2,2,2,2,10,0,0,1,0,0,2,4,2,2,0,0,2,21,13,8,6,4,1,9,9,8,3,15,14,13,13,13,9,5,11,10,10,10,9,4,3,3,1,1,3,0,1,1,1,0,0,0,71.42857143,71.42857143,0,OU,5,['Cursed Body'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,5120,70,600,45,Shadow Pokémon,80,1059860,1.5,60,Gangarゲンガー,50.0,94,170,95,130,ghost,poison,40.5,1,0,"Dazzling Gleam, Focus Blast, Nasty Plot, Shadow Ball, Substitute",0.25,Worlds_VGC_Usage_2024,ghost,poison,cursed-body,No_ability,None 
marowak,1.0,PU,RB,1,3,0,2,0,1,1,3,2,0,0,0,0,2,4,0,0,0,0,1,26,16,11,7,3,2,11,11,9,3,9,7,7,6,6,5,3,7,7,7,7,5,4,4,2,1,1,1,1,1,1,1,0,0,0,70.0,70.0,0,ZU,0,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,80,5120,70,425,75,Bone Keeper Pokémon,110,1000000,,60,Garagaraガラガラ,50.0,105,50,80,45,ground,fire,,1,0,"Bonemerang, Earthquake, Fire Punch, Knock Off, Stealth Rock, Substitute, Swords Dance",0.04387,Smogon_VGC_Usage_2022,ground,No_type,rock-head,lightning-rod,battle-armor
hitmonlee,1.5,PU,RB,1,3,0,3,0,0,1,0,0,1,0,0,0,2,4,2,0,0,0,0,24,16,11,9,5,3,8,8,8,2,2,2,2,2,2,2,0,3,2,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1,0,85.71428571,85.71428571,0,PU,1,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,120,6400,70,455,45,Kicking Pokémon,53,1000000,1.5,50,Sawamularサワムラー,100.0,106,35,110,87,fighting,,49.8,1,0,"Bulk Up, Close Combat, Knock Off, Poison Jab, Stone Edge",0.1,Worlds_VGC_Usage_2022,fighting,No_type,limber,reckless,unburden
hitmonchan,1.4,PU,RB,1,3,0,3,0,0,1,0,0,1,0,0,0,0,3,2,2,0,0,0,22,15,11,8,4,3,8,8,8,2,2,2,2,2,2,2,0,3,2,2,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,33.33333333,33.33333333,0,ZU,0,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,6400,70,455,45,Punching Pokémon,79,1000000,1.4,50,Ebiwalarエビワラー,100.0,107,35,110,76,fighting,,50.2,1,0,"Drain Punch, Mach Punch, Rapid Spin, Throat Chop, Thunder Punch",0.00134,Smogon_VGC_Usage_2024,fighting,No_type,keen-eye,iron-fist,inner-focus
